GENE,GENEID,GENEFULLNAME,MGOX,MGOY,MGOZ,GA,CLUSTER
Ostf1,20409,osteoclast stimulating factor 1,0.4789,0.4213,0.7701,0.7151,1
Twist2,13345,twist homolog 2 (Drosophila),0.4648,0.3931,0.7934,0.7142,1
Zfp191,59057,zinc finger protein 191,0.3334,0.4889,0.8061,0.7140,1
Cd44,12505,CD44 antigen,0.1968,0.1179,0.9733,0.7136,1
Ntn3,18209,netrin 3,0.5383,0.3731,0.7556,0.7132,1
Dcun1d1,114893,DCN1 defective in cullin neddylation 1 domain containing 1 (S. cerevisiae),0.5038,0.3899,0.7709,0.7115,1
Grin2c,14813,glutamate receptor ionotropic NMDA2C (epsilon 3),0.3366,0.3215,0.8851,0.7109,1
Nr1h4,20186,nuclear receptor subfamily 1 group H member 4,0.4099,0.3077,0.8587,0.7105,1
Drd1a,13488,dopamine receptor D1A,0.2545,0.2458,0.9353,0.7102,1
Hoxc10,209448,homeobox C10,0.5104,0.3459,0.7873,0.7094,1
Rxrg,20183,retinoid X receptor gamma,0.4776,0.3770,0.7935,0.7070,1
Hes2,15206,hairy and enhancer of split 2 (Drosophila),0.5020,0.4296,0.7506,0.7042,1
Bach2,12014,BTB and CNC homology 2,0.4410,0.3644,0.8202,0.7041,1
Erf,13875,Ets2 repressor factor,0.1966,0.2786,0.9401,0.7018,1
Smarce1,57376,SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily e member 1,0.4152,0.3944,0.8198,0.7005,1
Car3,12350,carbonic anhydrase 3,0.5125,0.4321,0.7421,0.6966,1
Eng,13805,endoglin,0.4851,0.4147,0.7698,0.6955,1
Bmyc,107771,brain expressed myelocytomatosis oncogene,0.4882,0.4037,0.7737,0.6953,1
Rxfp1,381489,relaxin/insulin-like family peptide receptor 1,0.4760,0.4296,0.7673,0.6951,1
Col9a3,12841,collagen type IX alpha 3,0.2570,0.2163,0.9419,0.6937,1
Tcf23,69852,transcription factor 23,0.5185,0.4179,0.7460,0.6910,1
Mycs,17870,myc-like oncogene s-myc protein,0.5211,0.4034,0.7521,0.6910,1
Irx4,50916,Iroquois related homeobox 4 (Drosophila),0.6285,0.4487,0.6353,0.6907,1
Gli2,14633,GLI-Kruppel family member GLI2,0.4377,0.3969,0.8067,0.6903,1
Perp,64058,PERP TP53 apoptosis effector,0.5295,0.4473,0.7208,0.6890,1
Tbx21,57765,T-box 21,0.5158,0.4527,0.7273,0.6883,1
Pdzd2,68070,PDZ domain containing 2,0.4886,0.4155,0.7672,0.6875,1
Duxbl,278672,double homeobox B-like,0.4569,0.3865,0.8011,0.6872,1
Cebpg,12611,CCAAT/enhancer binding protein (C/EBP) gamma,0.5057,0.4485,0.7370,0.6863,1
Insrr,23920,insulin receptor-related receptor,0.3880,0.3269,0.8617,0.6862,1
Hoxb1,15407,homeobox B1,0.7467,0.4905,0.4493,0.6851,1
Etv6,14011,ets variant gene 6 (TEL oncogene),0.4503,0.4240,0.7858,0.6811,1
Htr2b,15559,5-hydroxytryptamine (serotonin) receptor 2B,0.2769,0.3727,0.8857,0.6795,1
Wnt16,93735,wingless-related MMTV integration site 16,0.6621,0.5667,0.4904,0.6794,1
Tigd5,105734,tigger transposable element derived 5,0.4940,0.3894,0.7774,0.6783,1
Pvrl3,58998,poliovirus receptor-related 3,0.4496,0.3983,0.7995,0.6778,1
Hmgb4,69317,high-mobility group box 4,0.4899,0.3983,0.7755,0.6778,1
Hey1,15213,hairy/enhancer-of-split related with YRPW motif 1,0.4763,0.4144,0.7755,0.6775,1
Kcnj12,16515,potassium inwardly-rectifying channel subfamily J member 12,0.6575,0.5247,0.5407,0.6744,1
Zfpm2,22762,zinc finger protein multitype 2,0.4778,0.4910,0.7285,0.6738,1
Slc6a3,13162,solute carrier family 6 (neurotransmitter transporter dopamine) member 3,0.5457,0.4870,0.6819,0.6724,1
Tle3,21887,transducin-like enhancer of split 3 homolog of Drosophila E(spl),0.3404,0.2949,0.8928,0.6721,1
Dsg3,13512,desmoglein 3,0.4866,0.3386,0.8053,0.6709,1
Tph2,216343,tryptophan hydroxylase 2,0.5844,0.4230,0.6925,0.6703,1
Hcrt,15171,hypocretin,0.7600,0.4596,0.4596,0.6699,1
Ldb2,16826,LIM domain binding 2,0.6344,0.6001,0.4873,0.6666,1
Fgf7,14178,fibroblast growth factor 7,0.4325,0.2996,0.8504,0.6648,1
Sst,20604,somatostatin,0.1866,0.1686,0.9678,0.6622,1
Hmgxb3,106894,HMG box domain containing 3,0.4674,0.4240,0.7757,0.6614,1
Mlxipl,58805,MLX interacting protein-like,0.4508,0.4497,0.7711,0.6596,1
Unc5b,107449,unc-5 homolog B (C. elegans),0.1669,0.1701,0.9712,0.6594,1
Slc5a1,20537,solute carrier family 5 (sodium/glucose cotransporter) member 1,0.5305,0.4237,0.7342,0.6583,1
Pldn,18457,pallidin,0.5936,0.3631,0.7182,0.6565,1
Foxa1,15375,forkhead box A1,0.4930,0.4211,0.7613,0.6558,1
Serpina3k,20714,serine (or cysteine) peptidase inhibitor clade A member 3K,0.6335,0.3820,0.6728,0.6556,1
Nr2f2,11819,nuclear receptor subfamily 2 group F member 2,0.5415,0.4410,0.7158,0.6551,1
Nr0b2,23957,nuclear receptor subfamily 0 group B member 2,0.6357,0.4865,0.5993,0.6548,1
Dsc2,13506,desmocollin 2,0.5146,0.3303,0.7913,0.6537,1
Six6,20476,sine oculis-related homeobox 6 homolog (Drosophila),0.5404,0.4252,0.7261,0.6531,1
Htr1f,15557,5-hydroxytryptamine (serotonin) receptor 1F,0.4712,0.4243,0.7732,0.6530,1
Cdx4,12592,caudal type homeobox 4,0.4497,0.2886,0.8453,0.6519,1
Atf3,11910,activating transcription factor 3,0.4685,0.4240,0.7750,0.6515,1
Wnt10b,22410,wingless related MMTV integration site 10b,0.4311,0.3318,0.8391,0.6503,1
Pou5f2,75507,POU domain class 5 transcription factor 2,0.6560,0.5155,0.5513,0.6476,1
Prom1,19126,prominin 1,0.5096,0.4354,0.7421,0.6471,1
Nog,18121,noggin,0.5002,0.4179,0.7584,0.6461,1
Itgam,16409,integrin alpha M,0.4944,0.4294,0.7558,0.6458,1
Ahr,11622,aryl-hydrocarbon receptor,0.5555,0.3834,0.7379,0.6454,1
Ncstn,59287,nicastrin,0.7101,0.4988,0.4970,0.6448,1
Prss12,19142,protease serine 12 neurotrypsin (motopsin),0.4206,0.3700,0.8284,0.6431,1
Nrip2,60345,nuclear receptor interacting protein 2,0.5229,0.4346,0.7333,0.6389,1
Ascl1,17172,achaete-scute complex homolog 1 (Drosophila),0.4528,0.3533,0.8186,0.6385,1
Fzd6,14368,frizzled homolog 6 (Drosophila),0.5387,0.4849,0.6889,0.6382,1
Meox1,17285,mesenchyme homeobox 1,0.5192,0.3958,0.7574,0.6381,1
Vegfb,22340,vascular endothelial growth factor B,0.6261,0.5071,0.5924,0.6375,1
Cox6a2,12862,cytochrome c oxidase subunit VI a polypeptide 2,0.4786,0.4273,0.7670,0.6364,1
Itgbl1,223272,integrin beta-like 1,0.5778,0.3930,0.7154,0.6360,1
Efna5,13640,ephrin A5,0.5226,0.4252,0.7389,0.6353,1
Pou5f1,18999,POU domain class 5 transcription factor 1,0.4706,0.3327,0.8172,0.6352,1
Lpl,16956,lipoprotein lipase,0.4570,0.3813,0.8036,0.6346,1
Foxn2,14236,forkhead box N2,0.4969,0.4144,0.7625,0.6343,1
Alx3,11694,aristaless-like homeobox 3,0.5497,0.3683,0.7498,0.6332,1
Col13a1,12817,collagen type XIII alpha 1,0.4646,0.3741,0.8026,0.6322,1
Shox2,20429,short stature homeobox 2,0.6303,0.4523,0.6310,0.6289,1
Ppara,19013,peroxisome proliferator activated receptor alpha,0.5046,0.4291,0.7492,0.6271,1
Hoxc13,15422,homeobox C13,0.5327,0.4582,0.7116,0.6254,1
Lmcd1,30937,LIM and cysteine-rich domains 1,0.5519,0.4244,0.7178,0.6245,1
Zfp488,382867,zinc finger protein 488,0.4791,0.3935,0.7846,0.6232,1
Fgf14,14169,fibroblast growth factor 14,0.4696,0.3833,0.7954,0.6230,1
Pax8,18510,paired box gene 8,0.5329,0.4201,0.7346,0.6225,1
Gata6,14465,GATA binding protein 6,0.4732,0.4283,0.7699,0.6219,1
Abcc1,17250,ATP-binding cassette sub-family C (CFTR/MRP) member 1,0.5195,0.4171,0.7458,0.6201,1
Nr5a2,26424,nuclear receptor subfamily 5 group A member 2,0.5704,0.5481,0.6117,0.6200,1
Trp63,22061,transformation related protein 63,0.6258,0.5185,0.5827,0.6191,1
Ebf2,13592,early B cell factor 2,0.4664,0.4491,0.7621,0.6184,1
Angpt2,11601,angiopoietin 2,0.5157,0.3993,0.7580,0.6178,1
Neurog3,11925,neurogenin 3,0.5136,0.4421,0.7354,0.6157,1
Hoxd4,15436,homeobox D4,0.5603,0.3826,0.7346,0.6156,1
Mchr1,207911,melanin-concentrating hormone receptor 1,0.3265,0.4515,0.8304,0.6152,1
Srebf1,20787,sterol regulatory element binding transcription factor 1,0.5758,0.4713,0.6681,0.6149,1
Gabra2,14395,gamma-aminobutyric acid (GABA) A receptor subunit alpha 2,0.4406,0.3532,0.8253,0.6149,1
Stat4,20849,signal transducer and activator of transcription 4,0.5176,0.4319,0.7386,0.6145,1
Pou2f3,18988,POU domain class 2 transcription factor 3,0.4955,0.3990,0.7716,0.6140,1
Pcbd1,13180,pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1,0.6198,0.4665,0.6311,0.6133,1
Notch4,18132,notch 4,0.5189,0.4489,0.7275,0.6123,1
Sstr4,20608,somatostatin receptor 4,0.4485,0.3811,0.8085,0.6121,1
Tfap4,83383,transcription factor AP4,0.6583,0.4292,0.6183,0.6118,1
Mgst3,66447,microsomal glutathione S-transferase 3,0.4963,0.4169,0.7615,0.6116,1
Gabre,14404,gamma-aminobutyric acid (GABA) A receptor subunit epsilon,0.5054,0.3421,0.7922,0.6116,1
Tgfa,21802,transforming growth factor alpha,0.5181,0.4131,0.7489,0.6115,1
Tacr1,21336,tachykinin receptor 1,0.5351,0.3767,0.7562,0.6114,1
Rln3,212108,relaxin 3,0.6324,0.4391,0.6382,0.6096,1
Lama3,16774,laminin alpha 3,0.4855,0.3933,0.7808,0.6078,1
Kcnb2,98741,potassium voltage gated channel Shab-related subfamily member 2,0.5226,0.3945,0.7558,0.6076,1
Sccpdh,109232,saccharopine dehydrogenase (putative),0.5028,0.4140,0.7588,0.6067,1
Smad3,17127,MAD homolog 3 (Drosophila),0.4265,0.4448,0.7876,0.6063,1
Smad2,17126,MAD homolog 2 (Drosophila),0.5551,0.3951,0.7319,0.6059,1
Esx1,13984,extraembryonic spermatogenesis homeobox 1,0.5796,0.4757,0.6617,0.6057,1
Rarb,218772,retinoic acid receptor beta,0.4868,0.3730,0.7899,0.6053,1
Fam3c,27999,family with sequence similarity 3 member C,0.4237,0.3761,0.8240,0.6035,1
Maoa,17161,monoamine oxidase A,0.5507,0.3718,0.7473,0.6026,1
Tcf7l2,21416,transcription factor 7 like 2 T cell specific HMG box,0.4115,0.4602,0.7867,0.6024,1
Parvb,170736,parvin beta,0.4909,0.4019,0.7730,0.6020,1
Musk,18198,muscle skeletal receptor tyrosine kinase,0.5227,0.4464,0.7263,0.6018,1
Mertk,17289,c-mer proto-oncogene tyrosine kinase,0.5016,0.3657,0.7840,0.5976,1
Pvrl2,19294,poliovirus receptor-related 2,0.5005,0.3985,0.7686,0.5975,1
Pou6f2,218030,POU domain class 6 transcription factor 2,0.4542,0.3843,0.8038,0.5973,1
Stx3,20908,syntaxin 3,0.5420,0.3877,0.7456,0.5971,1
Tgfb2,21808,transforming growth factor beta 2,0.4089,0.3659,0.8360,0.5966,1
Nrg2,100042150,neuregulin 2,0.6359,0.5510,0.5405,0.5964,1
Myog,17928,myogenin,0.4419,0.4129,0.7964,0.5959,1
Pah,18478,phenylalanine hydroxylase,0.2816,0.4449,0.8502,0.5945,1
Dbp,13170,D site albumin promoter binding protein,0.3799,0.3741,0.8460,0.5941,1
Clca2,80797,chloride channel calcium activated 2,0.4160,0.3264,0.8488,0.5939,1
Sfrp5,54612,secreted frizzled-related sequence protein 5,0.5724,0.4857,0.6606,0.5937,1
Zfp192,93681,zinc finger protein 192,0.5356,0.4338,0.7245,0.5932,1
Pknox1,18771,Pbx/knotted 1 homeobox,0.4789,0.3992,0.7819,0.5932,1
Hmg20a,66867,high mobility group 20A,0.6146,0.4512,0.6471,0.5925,1
Pde1c,18575,phosphodiesterase 1C,0.5218,0.4008,0.7531,0.5922,1
Aanat,11298,arylalkylamine N-acetyltransferase,0.4157,0.4610,0.7840,0.5905,1
Cdhr1,170677,cadherin-related family member 1,0.3926,0.3851,0.8352,0.5900,1
Sostdc1,66042,sclerostin domain containing 1,0.3715,0.4061,0.8349,0.5870,1
Igfbp1,16006,insulin-like growth factor binding protein 1,0.5223,0.3743,0.7662,0.5865,1
Ntng1,80883,netrin G1,0.1852,0.2798,0.9420,0.5854,1
Etv2,14008,ets variant gene 2,0.4214,0.4761,0.7718,0.5848,1
Npas4,225872,neuronal PAS domain protein 4,0.2741,0.3227,0.9059,0.5827,1
Cyp7b1,13123,cytochrome P450 family 7 subfamily b polypeptide 1,0.4123,0.4502,0.7920,0.5827,1
Klf2,16598,Kruppel-like factor 2 (lung),0.4013,0.3391,0.8508,0.5819,1
Pcdhga12,93724,protocadherin gamma subfamily A 12,0.1981,0.2880,0.9369,0.5817,1
Clec7a,56644,C-type lectin domain family 7 member a,0.5109,0.3484,0.7859,0.5796,1
Gpr6,140741,G protein-coupled receptor 6,0.4575,0.4836,0.7463,0.5794,1
Hoxc5,15424,homeobox C5,0.5732,0.5291,0.6257,0.5794,1
Esr2,13983,estrogen receptor 2 (beta),0.3514,0.4242,0.8346,0.5792,1
Hnf4g,30942,hepatocyte nuclear factor 4 gamma,0.4031,0.3199,0.8574,0.5792,1
Sox17,20671,SRY-box containing gene 17,0.5031,0.4154,0.7579,0.5788,1
Slc18a3,20508,solute carrier family 18 (vesicular monoamine) member 3,0.6411,0.3698,0.6724,0.5779,1
Aff3,16764,AF4/FMR2 family member 3,0.5019,0.4136,0.7596,0.5773,1
Srf,20807,serum response factor,0.3582,0.3918,0.8475,0.5767,1
Ascl2,17173,achaete-scute complex homolog 2 (Drosophila),0.4373,0.3572,0.8254,0.5746,1
Tbr1,21375,T-box brain gene 1,0.2907,0.3758,0.8799,0.5743,1
Tiam2,24001,T cell lymphoma invasion and metastasis 2,0.3163,0.4208,0.8502,0.5739,1
Mapk8,26419,mitogen-activated protein kinase 8,0.4749,0.4076,0.7800,0.5708,1
Neo1,18007,neogenin,0.4656,0.4030,0.7879,0.5702,1
Htr6,15565,5-hydroxytryptamine (serotonin) receptor 6,0.5714,0.4734,0.6703,0.5697,1
Zfp189,230162,zinc finger protein 189,0.5081,0.4060,0.7596,0.5691,1
Nrip1,268903,nuclear receptor interacting protein 1,0.4991,0.4072,0.7649,0.5687,1
Bdnf,12064,brain derived neurotrophic factor,0.5864,0.5255,0.6164,0.5682,1
Porcn,53627,porcupine homolog (Drosophila),0.5508,0.5323,0.6428,0.5671,1
Tgif1,21815,TGFB-induced factor homeobox 1,0.3234,0.2624,0.9091,0.5669,1
Col24a1,71355,collagen type XXIV alpha 1,0.6073,0.4046,0.6837,0.5669,1
Vdr,22337,vitamin D receptor,0.6180,0.4478,0.6462,0.5653,1
Gsk3a,606496,glycogen synthase kinase 3 alpha,0.3693,0.3741,0.8507,0.5647,1
Bcorl1,320376,BCL6 co-repressor-like 1,0.4626,0.4578,0.7592,0.5646,1
Lrrn3,16981,leucine rich repeat protein 3 neuronal,0.1734,0.2757,0.9455,0.5646,1
Grid2,14804,glutamate receptor ionotropic delta 2,0.4764,0.4115,0.7770,0.5632,1
Stxbp6,217517,syntaxin binding protein 6 (amisyn),0.4049,0.4423,0.8003,0.5630,1
Stard5,170460,StAR-related lipid transfer (START) domain containing 5,0.4819,0.4237,0.7670,0.5621,1
Rasa2,114713,RAS p21 protein activator 2,0.5937,0.5121,0.6206,0.5619,1
Rbpj,19664,recombination signal binding protein for immunoglobulin kappa J region,0.4868,0.3698,0.7914,0.5613,1
Fzd4,14366,frizzled homolog 4 (Drosophila),0.5686,0.4862,0.6636,0.5608,1
Hif3a,53417,hypoxia inducible factor 3 alpha subunit,0.5620,0.4685,0.6817,0.5608,1
Fgf1,14164,fibroblast growth factor 1,0.5506,0.4067,0.7290,0.5587,1
Hoxa10,15395,homeobox A10,0.5552,0.4320,0.7107,0.5574,1
Cckbr,12426,cholecystokinin B receptor,0.3965,0.4163,0.8182,0.5570,1
Cacna1g,12291,calcium channel voltage-dependent T type alpha 1G subunit,0.4122,0.4589,0.7871,0.5559,1
Chrm2,243764,cholinergic receptor muscarinic 2 cardiac,0.5161,0.4273,0.7423,0.5542,1
Csf1,12977,colony stimulating factor 1 (macrophage),0.4783,0.3778,0.7928,0.5511,1
Col8a1,12837,collagen type VIII alpha 1,0.6094,0.3555,0.7087,0.5502,1
Ncoa6,56406,nuclear receptor coactivator 6,0.4657,0.4201,0.7789,0.5488,1
Grm1,14816,glutamate receptor metabotropic 1,0.3739,0.3820,0.8452,0.5481,1
Pygo2,68911,pygopus 2,0.4119,0.4133,0.8121,0.5479,1
E2f4,104394,E2F transcription factor 4,0.5482,0.4851,0.6813,0.5470,1
Sox18,20672,SRY-box containing gene 18,0.5278,0.4597,0.7143,0.5468,1
Pde10a,23984,phosphodiesterase 10A,0.4489,0.3719,0.8125,0.5467,1
Phox2a,11859,paired-like homeobox 2a,0.5437,0.4374,0.7163,0.5460,1
Ptgds,19215,prostaglandin D2 synthase (brain),0.4126,0.3878,0.8242,0.5459,1
Fosl2,14284,fos-like antigen 2,0.3595,0.3645,0.8590,0.5459,1
Nfatc2,18019,nuclear factor of activated T cells cytoplasmic calcineurin dependent 2,0.5701,0.3234,0.7552,0.5452,1
Sgk1,20393,serum/glucocorticoid regulated kinase 1,0.4126,0.4320,0.8020,0.5430,1
Inhbb,16324,inhibin beta-B,0.5733,0.4542,0.6819,0.5425,1
Htr2c,15560,5-hydroxytryptamine (serotonin) receptor 2C,0.5553,0.4819,0.6778,0.5407,1
B3gat2,280645,beta-1 3-glucuronyltransferase 2 (glucuronosyltransferase S),0.4015,0.2902,0.8686,0.5393,1
Hivep3,16656,human immunodeficiency virus type I enhancer binding protein 3,0.0889,0.2586,0.9619,0.5378,1
Gbx1,231044,gastrulation brain homeobox 1,0.5103,0.3365,0.7914,0.5377,1
Inpp4b,234515,inositol polyphosphate-4-phosphatase type II,0.6051,0.5437,0.5816,0.5372,1
Npy1r,18166,neuropeptide Y receptor Y1,0.3381,0.3435,0.8762,0.5359,1
Arf6,11845,ADP-ribosylation factor 6,0.5166,0.6032,0.6076,0.5357,1
Ntsr1,18216,neurotensin receptor 1,0.4677,0.3449,0.8138,0.5339,1
Lass5,71949,LAG1 homolog ceramide synthase 5,0.4667,0.4050,0.7862,0.5337,1
Gal,14419,galanin,0.6467,0.3435,0.6810,0.5291,1
Igfbp7,29817,insulin-like growth factor binding protein 7,0.5256,0.4314,0.7332,0.5267,1
Syt10,54526,synaptotagmin X,0.3919,0.3573,0.8478,0.5264,1
Hbp1,73389,high mobility group box transcription factor 1,0.4705,0.3783,0.7972,0.5239,1
Tbx20,57246,T-box 20,0.4633,0.4189,0.7809,0.5223,1
Atp10a,11982,ATPase class V type 10A,0.4377,0.3306,0.8361,0.5159,1
Ppfibp1,67533,PTPRF interacting protein binding protein 1 (liprin beta 1),0.5043,0.4117,0.7591,0.5156,1
Erbb3,13867,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian),0.4614,0.4370,0.7721,0.5130,1
Cdh18,320865,cadherin 18,0.3921,0.4181,0.8194,0.5120,1
P2rx7,18439,purinergic receptor P2X ligand-gated ion channel 7,0.4997,0.4720,0.7263,0.5120,1
Irf2,16363,interferon regulatory factor 2,0.4701,0.4168,0.7780,0.5091,1
