GENE,GENEID,GENEFULLNAME,GA,MGOX,MGOY,MGOZ,CLUSTER
Med6,69792,mediator_of_RNA_polymerase_II_transcription__subunit_6_homolog_(yeast),0.7897,0.0617,0.1939,0.9791,2
Hhip,15245,Hedgehog-interacting_protein,0.7889,0.0697,0.2918,0.9540,2
Calb1,12307,calbindin_1,0.7868,0.0896,0.4351,0.8959,2
Hmg20b,15353,high_mobility_group_20_B,0.7860,0.0357,0.1475,0.9884,2
Cacng5,140723,calcium_channel__voltage-dependent__gamma_subunit_5,0.7849,0.1626,0.7552,0.6350,2
Erf,13875,Ets2_repressor_factor,0.7835,0.0632,0.1694,0.9835,2
Grm1,14816,glutamate_receptor__metabotropic_1,0.7834,0.1219,0.4546,0.8823,2
Hmbox1,219150,homeobox_containing_1,0.7827,0.0756,0.3458,0.9353,2
Bach1,12013,BTB_and_CNC_homology_1,0.7821,0.0444,0.2182,0.9749,2
Cacna2d3,12294,calcium_channel__voltage-dependent__alpha2/delta_subunit_3,0.7806,0.1379,0.5838,0.8001,2
Pogz,229584,pogo_transposable_element_with_ZNF_domain,0.7778,0.0060,0.1267,0.9919,2
Rtn4r,65079,reticulon_4_receptor,0.7771,0.1712,0.7371,0.6537,2
LOC546316,546316,-,0.7770,0.1766,0.6086,0.7736,2
Gpr83,14608,G_protein-coupled_receptor_83,0.7763,0.0568,0.2532,0.9657,2
Acvrl1,11482,activin_A_receptor__type_II-like_1,0.7687,0.0450,0.1692,0.9846,2
Kcna2,16490,potassium_voltage-gated_channel__shaker-related_subfamily__member_2,0.7682,0.1838,0.8044,0.5649,2
Myst2,217127,MYST_histone_acetyltransferase_2,0.7682,0.0788,0.3959,0.9149,2
Rxrb,20182,retinoid_X_receptor_beta,0.7671,0.1758,0.7609,0.6245,2
Pml,18854,promyelocytic_leukemia,0.7654,0.0742,0.1910,0.9788,2
Irf2,16363,interferon_regulatory_factor_2,0.7627,0.1100,0.3595,0.9266,2
Smarce1,57376,SWI/SNF_related__matrix_associated__actin_dependent_regulator_of_chromatin__subfamily_e__member_1,0.7595,0.0807,0.2919,0.9530,2
Cldn5,12741,claudin_5,0.7588,0.0544,0.1591,0.9858,2
Nov,18133,nephroblastoma_overexpressed_gene,0.7581,0.0919,0.3838,0.9188,2
Nog,18121,noggin,0.7580,0.0935,0.2969,0.9503,2
A930038C07Rik,68169,RIKEN_cDNA_A930038C07_gene,0.7555,0.1526,0.5516,0.8200,2
Nos1ap,70729,nitric_oxide_synthase_1_(neuronal)_adaptor_protein,0.7539,0.1458,0.6375,0.7566,2
Epas1,13819,endothelial_PAS_domain_protein_1,0.7520,0.0797,0.2698,0.9596,2
Foxo3,56484,forkhead_box_O3,0.7486,0.0437,0.2620,0.9641,2
Stx3,20908,syntaxin_3,0.7462,0.0570,0.2359,0.9701,2
Atf6b,12915,activating_transcription_factor_6_beta,0.7454,0.0757,0.2345,0.9692,2
Mef2d,17261,myocyte_enhancer_factor_2D,0.7454,0.1524,0.6371,0.7556,2
Nr2c2,22026,nuclear_receptor_subfamily_2__group_C__member_2,0.7451,0.0722,0.2797,0.9574,2
Tac2,21334,tachykinin_2,0.7359,0.0903,0.3157,0.9446,2
Gpr37l1,171469,G_protein-coupled_receptor_37-like_1,0.7350,0.0151,0.2438,0.9697,2
Col18a1,12822,collagen__type_XVIII__alpha_1,0.7327,0.1114,0.3863,0.9156,2
Nfic,18029,nuclear_factor_I/C,0.7284,0.0710,0.3074,0.9489,2
Nfkb1,18033,nuclear_factor_of_kappa_light_polypeptide_gene_enhancer_in_B_cells_1__p105,0.7216,0.0916,0.2008,0.9753,2
Pvrl4,71740,poliovirus_receptor-related_4,0.7215,0.1912,0.7053,0.6827,2
Tie1,21846,tyrosine_kinase_with_immunoglobulin-like_and_EGF-like_domains_1,0.7168,0.1286,0.3745,0.9183,2
Sel1l,20338,sel-1_suppressor_of_lin-12-like_(C._elegans),0.7165,0.0455,0.2671,0.9626,2
Hif1a,15251,hypoxia_inducible_factor_1__alpha_subunit,0.7154,0.0694,0.3401,0.9378,2
Coch,12810,coagulation_factor_C_homolog_(Limulus_polyphemus),0.7154,0.0310,0.1085,0.9936,2
Stat1,20846,signal_transducer_and_activator_of_transcription_1,0.7125,0.1698,0.6359,0.7529,2
Camk2a,12322,calcium/calmodulin-dependent_protein_kinase_II_alpha,0.7120,0.1122,0.2957,0.9487,2
Spib,272382,Spi-B_transcription_factor_(Spi-1/PU.1_related),0.7069,0.0922,0.2353,0.9675,2
Ctbp2,13017,C-terminal_binding_protein_2,0.7059,0.0566,0.1709,0.9837,2
Scn4b,399548,sodium_channel__type_IV__beta,0.7042,0.0337,0.1996,0.9793,2
Creb3l1,26427,cAMP_responsive_element_binding_protein_3-like_1,0.6998,0.1729,0.6202,0.7651,2
Bhlhe41,79362,basic_helix-loop-helix_family__member_e41,0.6997,0.0756,0.2276,0.9708,2
Cdh2,12558,cadherin_2,0.6995,0.0543,0.1324,0.9897,2
Unc5b,107449,unc-5_homolog_B_(C._elegans),0.6981,0.0582,0.1712,0.9835,2
Itgam,16409,integrin_alpha_M,0.6972,0.1940,0.5599,0.8056,2
Glrb,14658,glycine_receptor__beta_subunit,0.6955,0.0229,0.1734,0.9846,2
Htr4,15562,5_hydroxytryptamine_(serotonin)_receptor_4,0.6946,0.1671,0.6842,0.7099,2
Zfp191,59057,zinc_finger_protein_191,0.6946,0.2065,0.7380,0.6425,2
Lamb1,16777,laminin_B1,0.6936,0.1078,0.3642,0.9251,2
Sfrp1,20377,secreted_frizzled-related_protein_1,0.6932,0.0698,0.3125,0.9473,2
Qdpr,110391,quinoid_dihydropteridine_reductase,0.6928,0.2444,0.8678,0.4327,2
Chat,12647,choline_acetyltransferase,0.6913,0.0969,0.2819,0.9545,2
Parvb,170736,parvin__beta,0.6906,0.1009,0.2572,0.9611,2
Mapk9,26420,mitogen-activated_protein_kinase_9,0.6894,0.1226,0.4773,0.8701,2
Lbx1,16814,ladybird_homeobox_homolog_1_(Drosophila),0.6871,0.1625,0.6464,0.7455,2
Nckap1,50884,NCK-associated_protein_1,0.6867,0.1781,0.7156,0.6755,2
Nrip3,78593,nuclear_receptor_interacting_protein_3,0.6851,0.1716,0.6925,0.7007,2
Col9a3,12841,collagen__type_IX__alpha_3,0.6846,0.0785,0.1454,0.9863,2
Cd9,12527,CD9_antigen,0.6839,0.1286,0.4910,0.8616,2
Plp1,18823,proteolipid_protein_(myelin)_1,0.6838,0.1492,0.6162,0.7733,2
Rasa2,114713,RAS_p21_protein_activator_2,0.6837,0.1966,0.7122,0.6739,2
Wfs1,22393,Wolfram_syndrome_1_homolog_(human),0.6802,0.1647,0.6132,0.7726,2
Hopx,74318,HOP_homeobox,0.6799,0.0813,0.1953,0.9774,2
Nes,18008,nestin,0.6788,0.0376,0.2507,0.9673,2
Setd7,73251,SET_domain_containing_(lysine_methyltransferase)_7,0.6782,0.0411,0.2853,0.9576,2
Slc12a2,20496,solute_carrier_family_12__member_2,0.6717,0.0834,0.4148,0.9061,2
E2f4,104394,E2F_transcription_factor_4,0.6706,0.1925,0.6476,0.7373,2
Slc1a1,20510,solute_carrier_family_1_(neuronal/epithelial_high_affinity_glutamate_transporter__system_Xag)__member_1,0.6697,0.1273,0.5125,0.8492,2
Btbd11,74007,BTB_(POZ)_domain_containing_11,0.6689,0.1485,0.6339,0.7590,2
Spint2,20733,serine_protease_inhibitor__Kunitz_type_2,0.6672,0.1513,0.6048,0.7819,2
Tfcp2,21422,transcription_factor_CP2,0.6645,0.0677,0.1595,0.9849,2
Dcun1d5,76863,DCN1__defective_in_cullin_neddylation_1__domain_containing_5_(S._cerevisiae),0.6634,0.0441,0.1872,0.9813,2
Mapk8,26419,mitogen-activated_protein_kinase_8,0.6623,0.1030,0.3385,0.9353,2
Fgfr3,14184,fibroblast_growth_factor_receptor_3,0.6611,0.0820,0.2584,0.9626,2
Trp53,22059,transformation_related_protein_53,0.6599,0.0770,0.2116,0.9743,2
Crxos1,546024,Crx_opposite_strand_transcript_1,0.6597,0.1759,0.6951,0.6970,2
Synpr,72003,synaptoporin,0.6580,0.1485,0.5060,0.8497,2
Pclo,26875,piccolo_(presynaptic_cytomatrix_protein),0.6577,0.0382,0.2080,0.9774,2
Zfp488,382867,zinc_finger_protein_488,0.6540,0.0919,0.2805,0.9554,2
Cebpg,12611,CCAAT/enhancer_binding_protein_(C/EBP)__gamma,0.6523,0.0856,0.2030,0.9754,2
Ostf1,20409,osteoclast_stimulating_factor_1,0.6520,0.0579,0.2581,0.9644,2
Etv5,104156,ets_variant_gene_5,0.6520,0.0545,0.1816,0.9819,2
Fgfr2,14183,fibroblast_growth_factor_receptor_2,0.6512,0.1287,0.4899,0.8622,2
Bcorl1,320376,BCL6_co-repressor-like_1,0.6482,0.2281,0.6615,0.7144,2
Sema4d,20354,sema_domain__immunoglobulin_domain_(Ig)__transmembrane_domain_(TM)_and_short_cytoplasmic_domain__(semaphorin)_4D,0.6476,0.1069,0.5376,0.8364,2
Nfasc,269116,neurofascin,0.6473,0.0463,0.2353,0.9708,2
Pvalb,19293,parvalbumin,0.6467,0.0467,0.2732,0.9608,2
Abra,223513,actin-binding_Rho_activating_protein,0.6439,0.1185,0.3208,0.9397,2
Comt,12846,catechol-O-methyltransferase,0.6436,0.1124,0.3696,0.9224,2
Fgfr1,14182,fibroblast_growth_factor_receptor_1,0.6413,0.0540,0.2853,0.9569,2
Snf8,27681,SNF8__ESCRT-II_complex_subunit__homolog_(S._cerevisiae),0.6386,0.1184,0.4044,0.9069,2
Trpc5,22067,transient_receptor_potential_cation_channel__subfamily_C__member_5,0.6375,0.1659,0.5806,0.7971,2
Lamb3,16780,laminin__beta_3,0.6373,0.1118,0.2524,0.9612,2
Igfbp1,16006,insulin-like_growth_factor_binding_protein_1,0.6340,0.0941,0.3482,0.9327,2
Hdac5,15184,histone_deacetylase_5,0.6315,0.1730,0.6825,0.7102,2
Thrb,21834,thyroid_hormone_receptor_beta,0.6312,0.1675,0.6929,0.7014,2
Efna1,13636,ephrin_A1,0.6305,0.1038,0.3605,0.9270,2
Grm4,268934,glutamate_receptor__metabotropic_4,0.6302,0.1851,0.7362,0.6510,2
Sh3bgrl2,212531,SH3_domain_binding_glutamic_acid-rich_protein_like_2,0.6295,0.0341,0.1828,0.9826,2
Ncoa6,56406,nuclear_receptor_coactivator_6,0.6293,0.1454,0.3848,0.9115,2
Foxn3,71375,forkhead_box_N3,0.6275,0.1309,0.3808,0.9153,2
Pcsk2,18549,proprotein_convertase_subtilisin/kexin_type_2,0.6264,0.1759,0.6836,0.7084,2
Eng,13805,endoglin,0.6262,0.1244,0.4338,0.8924,2
Mlxipl,58805,MLX_interacting_protein-like,0.6202,0.1043,0.2467,0.9635,2
Pcdhb14,93885,protocadherin_beta_14,0.6200,0.1665,0.5439,0.8225,2
Mef2a,17258,myocyte_enhancer_factor_2A,0.6191,0.2081,0.6917,0.6916,2
Tsc22d4,78829,TSC22_domain_family__member_4,0.6179,0.1756,0.7586,0.6274,2
Dbx2,223843,developing_brain_homeobox_2,0.6160,0.0781,0.1076,0.9911,2
Taf6,21343,TAF6_RNA_polymerase_II__TATA_box_binding_protein_(TBP)-associated_factor,0.6146,0.0845,0.2107,0.9739,2
Lmcd1,30937,LIM_and_cysteine-rich_domains_1,0.6138,0.1222,0.3517,0.9281,2
Tnnc1,21924,troponin_C__cardiac/slow_skeletal,0.6134,0.0914,0.2235,0.9704,2
Adra2a,11551,adrenergic_receptor__alpha_2a,0.6133,0.1107,0.4301,0.8960,2
Trim66,330627,tripartite_motif-containing_66,0.6128,0.0498,0.2233,0.9735,2
Pde1c,18575,phosphodiesterase_1C,0.6124,0.0896,0.3234,0.9420,2
Klf2,16598,Kruppel-like_factor_2_(lung),0.6115,0.0810,0.1795,0.9804,2
Nfe2,18022,nuclear_factor__erythroid_derived_2,0.6105,0.0880,0.2589,0.9619,2
Ncor2,20602,nuclear_receptor_co-repressor_2,0.6065,0.0863,0.2160,0.9726,2
Jdp2,81703,Jun_dimerization_protein_2,0.6064,0.1901,0.7268,0.6601,2
Tert,21752,telomerase_reverse_transcriptase,0.6038,0.0816,0.1849,0.9794,2
Fam3c,27999,family_with_sequence_similarity_3__member_C,0.6019,0.0878,0.1012,0.9910,2
Apoe,11816,apolipoprotein_E,0.6017,0.2030,0.6685,0.7155,2
Bmp4,12159,bone_morphogenetic_protein_4,0.6009,0.1122,0.2444,0.9631,2
Aph1a,226548,anterior_pharynx_defective_1a_homolog_(C._elegans),0.5994,0.1264,0.2337,0.9641,2
Aldh2,11669,aldehyde_dehydrogenase_2__mitochondrial,0.5977,0.0881,0.2192,0.9717,2
Kcnab3,16499,potassium_voltage-gated_channel__shaker-related_subfamily__beta_member_3,0.5974,0.0326,0.1924,0.9808,2
Adam19,11492,a_disintegrin_and_metallopeptidase_domain_19_(meltrin_beta),0.5943,0.2426,0.7248,0.6448,2
Pparg,19016,peroxisome_proliferator_activated_receptor_gamma,0.5940,0.0842,0.2597,0.9620,2
Fgl2,14190,fibrinogen-like_protein_2,0.5923,0.0888,0.2738,0.9577,2
Wnt10a,22409,wingless_related_MMTV_integration_site_10a,0.5891,0.0794,0.2424,0.9669,2
Cerk,223753,ceramide_kinase,0.5890,0.2037,0.7028,0.6816,2
Perp,64058,PERP__TP53_apoptosis_effector,0.5868,0.1110,0.2264,0.9677,2
Pcbd1,13180,pterin_4_alpha_carbinolamine_dehydratase/dimerization_cofactor_of_hepatocyte_nuclear_factor_1_alpha_(TCF1)_1,0.5854,0.2084,0.7313,0.6494,2
Irx4,50916,Iroquois_related_homeobox_4_(Drosophila),0.5828,0.0903,0.4021,0.9111,2
Nfatc2,18019,nuclear_factor_of_activated_T_cells__cytoplasmic__calcineurin_dependent_2,0.5812,0.1070,0.3351,0.9361,2
P2rx7,18439,purinergic_receptor_P2X__ligand-gated_ion_channel__7,0.5797,0.2048,0.6112,0.7645,2
Homer1,26556,homer_homolog_1_(Drosophila),0.5770,0.1619,0.4272,0.8895,2
Grin1,14810,glutamate_receptor__ionotropic__NMDA1_(zeta_1),0.5767,0.0442,0.0858,0.9953,2
Ntrk2,18212,neurotrophic_tyrosine_kinase__receptor__type_2,0.5748,0.0768,0.2074,0.9752,2
Twist2,13345,twist_homolog_2_(Drosophila),0.5740,0.0901,0.2463,0.9650,2
Ntn3,18209,netrin_3,0.5737,0.0775,0.2486,0.9655,2
Pdzd2,68070,PDZ_domain_containing_2,0.5714,0.1939,0.5944,0.7804,2
Lyz2,17105,lysozyme_2,0.5710,0.0595,0.1885,0.9803,2
Pard3,93742,par-3_(partitioning_defective_3)_homolog_(C._elegans),0.5705,0.1154,0.4328,0.8941,2
Pcdh20,219257,protocadherin_20,0.5699,0.1816,0.6300,0.7550,2
Tsc22d3,14605,TSC22_domain_family__member_3,0.5676,0.1009,0.3127,0.9445,2
Gtf3c1,233863,general_transcription_factor_III_C_1,0.5667,0.0504,0.2251,0.9730,2
Zkscan6,52712,zinc_finger_with_KRAB_and_SCAN_domains_6,0.5659,0.0845,0.2344,0.9685,2
Gabrg3,14407,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_gamma_3,0.5638,0.0914,0.2174,0.9718,2
Lyl1,17095,lymphoblastomic_leukemia_1,0.5633,0.0957,0.2366,0.9669,2
Tigd5,105734,tigger_transposable_element_derived_5,0.5632,0.0809,0.3427,0.9360,2
Gsc,14836,goosecoid_homeobox,0.5594,0.1534,0.4191,0.8949,2
Igfbp7,29817,insulin-like_growth_factor_binding_protein_7,0.5585,0.1224,0.3531,0.9275,2
Foxa3,15377,forkhead_box_A3,0.5562,0.1405,0.6523,0.7449,2
Spnb4,80297,spectrin_beta_4,0.5544,0.0975,0.3162,0.9437,2
Slit3,20564,slit_homolog_3_(Drosophila),0.5521,0.1503,0.3214,0.9349,2
Ndel1,83431,nuclear_distribution_gene_E-like_homolog_1_(A._nidulans),0.5511,0.1605,0.6730,0.7220,2
Mafg,17134,v-maf_musculoaponeurotic_fibrosarcoma_oncogene_family__protein_G_(avian),0.5507,0.2912,0.7499,0.5939,2
Nfkbie,18037,nuclear_factor_of_kappa_light_polypeptide_gene_enhancer_in_B_cells_inhibitor__epsilon,0.5467,0.1908,0.6199,0.7611,2
Lpl,16956,lipoprotein_lipase,0.5460,0.1221,0.3519,0.9281,2
Tmem196,217951,transmembrane_protein_196,0.5421,0.0946,0.3305,0.9391,2
Etv2,14008,ets_variant_gene_2,0.5407,0.1005,0.3026,0.9478,2
Mycs,17870,myc-like_oncogene__s-myc_protein,0.5391,0.0898,0.2608,0.9612,2
Htr2c,15560,5-hydroxytryptamine_(serotonin)_receptor_2C,0.5371,0.0685,0.1249,0.9898,2
Arf6,11845,ADP-ribosylation_factor_6,0.5370,0.2979,0.8034,0.5156,2
Tcf23,69852,transcription_factor_23,0.5324,0.1431,0.2997,0.9432,2
Ctnnd1,12388,catenin_(cadherin_associated_protein)__delta_1,0.5321,0.1391,0.4235,0.8951,2
Gabra1,14394,gamma-aminobutyric_acid_(GABA)_A_receptor__subunit_alpha_1,0.5310,0.2295,0.8379,0.4952,2
Hes2,15206,hairy_and_enhancer_of_split_2_(Drosophila),0.5275,0.0903,0.2565,0.9623,2
Kdr,16542,kinase_insert_domain_protein_receptor,0.5268,0.1400,0.2386,0.9610,2
Pou6f1,19009,POU_domain__class_6__transcription_factor_1,0.5266,0.1236,0.4781,0.8696,2
Creb3l2,208647,cAMP_responsive_element_binding_protein_3-like_2,0.5186,0.0985,0.2802,0.9549,2
